"Scenario_ID";"id";"commandedBy";"strength";"entryTurn";"exitTurn"
"S";"10FrInf";"Ney";9;0;"99"
"S";"11FrInf";"Ney";9;0;"99"
"S";"12FrInf";"Ber";10;0;"99"
"S";"13FrInf";"Oud";9;0;"99"
"S";"14FrInf";"Oud";9;0;"99"
"S";"16FrInf";"Lau";5;0;"99"
"S";"17FrInf";"Seb";5;0;"99"
"S";"18FrInf";"Lau";6;0;"99"
"S";"19FrInf";"Lau";8;0;"99"
"S";"1FrGdeCav";"Bess";2;0;"99"
"S";"1FrHv";"Lat";1;0;"99"
"S";"1FrInf";"fMG_C";6;0;"99"
"S";"1FrLt";"Lat";1;0;"99"
"S";"1FrYGdeInf";"Sou";11;0;"99"
"S";"1OGde";"Eug";4;0;"99"
"S";"20FrInf";"Marm";8;0;"99"
"S";"21FrInf";"Marm";11;0;"99"
"S";"22FrInf";"Marm";8;0;"99"
"S";"23FrCav";"Ney";1;0;"99"
"S";"24FrCav";"Ber";1;0;"99"
"S";"25FrInf";"fMG_E";5;0;"99"
"S";"29FrInf";"fMG_A";8;0;"99"
"S";"2FrGdeCav";"Bess";2;0;"99"
"S";"2FrHv";"Seb";1;0;"99"
"S";"2FrInf";"Van";9;0;"99"
"S";"2FrLt";"Seb";1;0;"99"
"S";"2FrYGdeInf";"fMG_B";5;0;"99"
"S";"31FrInf";"Mac";4;0;"99"
"S";"32FrInf";"Rey";1;0;"99"
"S";"35FrInf";"Mac";10;0;"99"
"S";"36FrInf";"Mac";8;0;"99"
"S";"3FrHv";"Lat";1;0;"99"
"S";"3FrLt";"Lau";1;0;"99"
"S";"4FrHv";"Arr";2;0;"99"
"S";"4FrInf";"Vic";8;0;"99"
"S";"4FrLt";"Seb";1;0;"99"
"S";"5FrInf";"Van";9;0;"99"
"S";"5FrLt";"Arr";2;0;"99"
"S";"6FrCav";"Lau";1;0;"99"
"S";"6FrLt";"Arr";2;0;"99"
"S";"8FrInf";"Ney";13;0;"99"
"S";"9FrInf";"Ney";9;0;"99"
"S";"Duro";"Duro";6;0;"99"
"S";"GdArt";"Sou";6;0;"99"
"S";"Lanu";"Lanu";3;0;"99"
"S";"Lapl";"Lapl";5;0;"99"
"S";"Lapo";"Witten";2;0;"99"
"S";"Laue";"Lauer";2;0;"99"
"S";"Marg";"Marg";6;0;"99"
"S";"26GerCav";"fMG_E";2;0;"99"
"S";"28GerCav";"Mac";1;0;"99"
"S";"39GerInf";"fMG_H";7;0;"99"
"S";"10PrInf";"Bluch";9;0;"99"
"S";"11PrInf";"Bluch";7;0;"99"
"S";"14PrInf";"Kle";2;0;"99"
"S";"1PrInf";"Yor";2;0;"99"
"S";"2PrInf";"Yor";1;0;"99"
"S";"3PrInf";"Bul";5;0;"99"
"S";"4PrInf";"Bul";1;0;"99"
"S";"5PrInf";"Woro";4;0;"99"
"S";"6PrInf";"Bul";2;0;"99"
"S";"7PrInf";"Yor";4;0;"99"
"S";"8PrInf";"Yor";3;0;"99"
"S";"ArtPr";"Bluch";6;0;"99"
"S";"Dolffs";"Bluch";3;0;"99"
"S";"Juerg";"Yor";1;0;"99"
"S";"Oppen";"Bul";2;0;"99"
"S";"12RuInf";"pMG_M";2;0;"99"
"S";"1RuCuir";"Gali";2;0;"99"
"S";"1RuGde";"Yermo";3;0;"99"
"S";"1RuGren";"Raj";2;0;"99"
"S";"2RuCuir";"Gali";1;0;"99"
"S";"2RuGde";"Yermo";2;0;"99"
"S";"2RuGren";"Raj";2;0;"99"
"S";"3RuCuir";"Gali";2;0;"99"
"S";"3RuInf";"Eugen";4;0;"99"
"S";"4RuInf";"Eugen";3;0;"99"
"S";"5RuInf";"Gortch";4;0;"99"
"S";"Engel";"Milo";2;0;"99"
"S";"Ilow";"Gortch";2;0;"99"
"S";"Karpen";"Milo";2;0;"99"
"S";"Karpow";"Kor";3;0;"99"
"S";"KosX";"Kle";2;0;"99"
"S";"Krass";"Woro";5;0;"99"
"S";"Lcav";"Gali";1;0;"99"
"S";"Lisan";"Kor";1;0;"99"
"S";"MarkowInf";"Woro";3;0;"99"
"S";"Mile";"Kor";3;0;"99"
"S";"RuArt1";"Konst";3;0;"99"
"S";"15FrInf";"Ber";10;0;"99"
"S";"Mixc";"Gortch";1;0;"99"
"S";"Gdei";"Konst";2;0;"99"
