"ID","Name","Commander","Nation","Size","Type"
"10FrCav","10th","Jacquet","f","d","c"
"10FrInf","10th","Albert","f","d","i"
"10PrInf","10th","Roeder","p","d","i"
"10RuInf","10th","Leiwen","r","d","i"
"11FrInf","11th","Ricard","f","d","i"
"11PrInf","11th","Zieten","p","d","i"
"11RuInf","11th","Gurgalow","r","d","i"
"12FrInf","12th","","f","d","i"
"12PrInf","12th","August","p","d","i"
"12RuInf","12th","Chowanski","r","d","i"
"13FrInf","13th","Patchod","f","d","i"
"13RuInf","13th","Lidnfors","r","d","i"
"14FrInf","14th","Lorencez","f","d","i"
"14PrInf","14th","Unknown","p","d","i"
"14RuInf","14th","Helfreich","r","d","i"
"15FrInf","15th","","f","d","i"
"15GerInf","15th","Peyri","g","d","i"
"15RuInf","15th","Kornilow","r","d","i"
"16FrInf","16th","Maison","f","d","i"
"17FrInf","17th","Puthod","f","d","i"
"17RuInf","17th","Pilar","r","d","i"
"18FrInf","18th","Lagrange","f","d","i"
"18RuInf","18th","Benardos","r","d","i"
"19FrInf","19th","Rochambeau","f","d","i"
"1FrGdeCav","1st Guard Cav","Ornano","f","d","c"
"1FrHv","1st Hvy","Bordessol","f","d","c"
"1FrInf","1st","Philippon","f","d","i"
"1FrLt","1st Lt","Bruyere","f","d","c"
"1FrYGdeInf","1st Young Guard","Dumostier","f","d","i"
"1HvFr","1st Hvy","Bordessol","f","d","c"
"1OGde","1st Old Guard","Roguet","f","d","i"
"1PrInf","1st","Losthin","p","d","i"
"1RuCuir","1st Cuir","Deprerado","r","d","c"
"1RuGde","1st Gde","Rosen","r","d","i"
"1RuGren","1st Gren","Zwilenief","r","d","i"
"1SwCav","1st Reserve","","s","b","i"
"1SwInf","1st","Schutssnh","s","b","i"
"20FrInf","20th","Compans","f","d","i"
"21FrCav","21st","Corbineau","f","d","c"
"21FrInf","21st","Bonet","f","d","i"
"21RuInf","21st","Laptew","r","d","i"
"22FrInf","22nd","Friederich","f","d","i"
"22GerCav","22nd","Hammerst","g","b","c"
"22RuInf","22nd","Schapski","r","d","i"
"23FrCav","23rd","","f","d","c"
"23FrInf","23rd","Teste","f","d","i"
"24FrCav","24th","","f","d","c"
"24RuInf","24th","Wuitsch","r","d","i"
"25FrInf","25th","","f","d","i"
"25GerCav","25th Cav","Normann","g","b","c"
"25GerInf","25th","Sahr","g","d","i"
"26GerCav","26th Cav","Gablenz","g","b","c"
"26Polinf","26th","Kamienick","pl","d","i"
"26RuInf","26th","Paskiewitz","r","d","i"
"27PolCav","27th","Uminsky","pl","d","c"
"27PolInf","27th","Rozniezky","pl","d","i"
"27RuInf","27th","Newjeroski","r","d","i"
"28GerCav","28th Cav","Montbrun","g","b","c"
"29FrInf","29th","","f","d","i"
"29GerCav","29th Cav","Beaumont","g","b","c"
"29GerInf","29th","Raglowich","g","d","i"
"2FrGdeCav","2nd Guard Cav","Lefebvre","f","d","c"
"2FrHv","2nd Hvy","Wattier","f","d","c"
"2FrInf","2nd","Dumonceau","f","d","i"
"2FrLt","2nd Lt","D'Hurbal","f","d","c"
"2FrYGdeInf","2nd Young Guard","Barrois","f","d","i"
"2OGde","2nd Old Guard","Curial","f","d","i"
"2PrInf","2nd","Warburg","p","d","i"
"2RuCuir","2nd Cuir","Kretow","r","d","c"
"2RuGde","2nd Gde","Udom I","r","d","i"
"2RuGren","2nd Gren","Sulima","r","d","i"
"2SwInf","2nd","Reuterski","s","b","i"
"31FrInf","31st","Ledru des","f","d","i"
"32FrInf","32nd","Durutte","f","d","i"
"35FrInf","35th","Frassinet","f","d","i"
"36FrInf","36th","Charpentier","f","d","i"
"38GerInf","38th","Franquemont","g","d","i"
"39GerInf","39th","Marchand","g","d","i"
"3FrGdeCav","3rd Guard Cav","Walther","f","d","c"
"3FrHv","3rd Hvy","Doumerc","f","d","c"
"3FrInf","3rd","Teste","f","d","i"
"3FrLt","3rd Lt","Chastel","f","d","c"
"3FrYGdeInf","3rd Young Guard","Delaborde","f","d","i"
"3PrInf","3rd","H Homburg","p","d","i"
"3RuCuir","3rd Cuir","Duka","r","d","c"
"3RuInf","3rd","Schowskoi","r","d","i"
"3SwInf","3rd","Braendstr","s","b","i"
"42FrInf","42nd","Creutzer","f","d","i"
"43FrInf","43rd","Claparede","f","d","i"
"44FrInf","44th","Berthezene","f","d","i"
"45FrInf","45th","Razout","f","d","i"
"4FrHv","4th Hvy","Defrance","f","d","c"
"4FrInf","4th","Dubreton","f","d","i"
"4FrLt","4th Lt","Exelmans","f","d","c"
"4PrInf","4th","Thuemen","p","d","i"
"4RuInf","4th","Puschnzk","r","d","i"
"4SwInf","4th","Posse","s","b","i"
"4YGde","4th YGde","Roguet","f","d","i"
"51FrInf","51st","Turreau","f","d","i"
"52FrInf","52nd","Semelle","f","d","i"
"5FrHv","5th Hvy","Collaert","f","d","c"
"5FrInf","5th","Dufour","f","d","i"
"5FrLt","5th Lt","Lorge","f","d","c"
"5PrInf","5th","Borstell","p","d","i"
"5RuInf","5th","Mesenzow","r","d","i"
"6FrCav","6th","Bruno","f","d","c"
"6FrHv","6th Hvy","Milhaud","f","d","c"
"6FrInf","6th","Vial","f","d","i"
"6FrLt","6th Lt","Fournier","f","d","c"
"6PrInf","6th","Krafft","p","d","i"
"6SwInf","6th","Boije","s","b","i"
"7PolLtCav","7th Light","Sokolnizk","pl","d","c"
"7PrInf","7th","Weltzien","p","d","i"
"7RuInf","7th","Talysin I","r","d","i"
"8FrInf","8th","Brayer","f","d","i"
"8PolLtCav","8th Light","Sulkowski","pl","d","c"
"8PrInf","8th","Girsa","p","d","i"
"8RuInf","8th","Urussow","r","d","i"
"9FrInf","9th","Brenier","f","d","i"
"9FrLt","9th Lt","Subervie","f","d","c"
"9PrInf","9th","Kluex","p","d","i"
"9RuInf","9th","Udom II","r","d","i"
"ALiech","2nd","A Liechtn","a","d","i"
"ArtFr1","Artillery Res","","f","d","a"
"ArtFr2","Artillery Res","","f","d","a"
"ArtFr3","Artillery Res","","f","d","a"
"ArtPr","Reserve","","p","d","a"
"AuArt","Res Reisner","Reisner","a","d","a"
"Bianchi","2nd Res","Bianchi","a","d","i"
"Boros","1st Dragon","Borosdin","r","d","c"
"BubnaCav","2nd Lt","Bubna","a","d","c"
"BubnaInf","2nd Lt","Bubna","a","d","i"
"CavAlven","Garde","Alvensleben","p","d","c"
"Chastel","1st Res","Chasteler","a","d","i"
"Cival","3rd Res","Civalart","a","d","i"
"Crennev","1st","Crennevil","a","d","c"
"Deniss","Denissiew","Denissiew","r","b","c"
"Dobsch","Lander","Dobschutz","p","d","i"
"Dolffs","Reserve","Dolffs","p","d","c"
"Duro","Dresden","Durosnel","f","d","i"
"Ehrengde","1st","Ehrengde","a","d","c"
"Ema","4th Dragons","Emanuel","r","d","c"
"Engel","Engelhart","Engelhart","r","d","i"
"GdArt","Guard Artillery","","f","d","a"
"Gdec","Guard Cav","","r","d","i"
"Gdei","Guard Inf","","r","d","i"
"GerCav","24th","Briche-J","g","b","c"
"Gloga","Glogau","Kosen","f","d","i"
"Greth","3rd","Greth","a","d","i"
"Harpe","Harpe","Harpe","r","d","i"
"Hirsch","Lander","Hirschfeld","p","d","i"
"Hohe","2nd","Hohenlohe","a","d","i"
"Ilow","Kossaks","Ilowainski","r","b","c"
"InfAlven","Garde","Alvensleben","p","d","i"
"Juerg","Reserve","Juergass","p","d","c"
"Karpen","Chas","Karpenko","r","b","c"
"Karpow","Kossaks","Karpow","r","b","c"
"KarpowII","Kossaks","Karpow II","r","b","c"
"KosX","Kossaks","Unknown","r","b","c"
"Krass","Krassofs","Krassofs","r","d","c"
"Lansk","2nd Hussars","Lanskoi","r","d","c"
"Lanu","Magdeburg","Lanusse","f","d","i"
"Lapl","Glogau","Laplane","f","d","i"
"Lapo","Wittenberg","Lapoype","f","d","i"
"Laue","Torgau","Lauer","f","d","i"
"Lcav","Light Cavalry","","r","d","c"
"Lecoq","24th","Lecoq","g","d","i"
"Lederer","1st","Lederer","a","d","c"
"Lef","Lefol","Lefol","f","d","i"
"Lemo","Magdeburg","Lemoine","f","d","i"
"Lisan","Ulan","Lisanewit","r","b","c"
"Marg","Leipzig","Margaron","f","d","i"
"MarkowCav","AvGde Markow","Markow","r","d","c"
"MarkowInf","AvGde Markow","Markow","r","d","i"
"Mayer","3rd","Mayer","a","d","i"
"Mensd","Kossaks","Mensdorf","r","b","c"
"Mezko","3rd Lt","Mezko","a","d","i"
"Mile","1st Hussars","Milesinow","r","d","c"
"Mixc","Mixed","","r","d","c"
"Mixi","Mixed","Kasakofski","r","d","i"
"MLiechCav","1st Lt","M Liechtn","a","d","c"
"MliechInf","1st Lt","M Liecthn","a","d","i"
"Muronz","Militia","Muronzow","r","d","i"
"Murray","2nd","Murray","a","d","i"
"Nostitz","Cuir","Nostitz","a","d","c"
"Oppen","Reserve","Oppenheimer","p","d","c"
"PahlenII","Pahlen II","Pahlen II","r","b","c"
"Pandsh","3rd Dragons","Pandshul","r","d","c"
"Philipp","3rd","Philipp","a","d","i"
"Platov","Kossaks","Platov","r","d","c"
"Pusch","Puschkin","Puschkin","r","d","c"
"Putlitz","Lander","Putlitz","p","d","i"
"Rosen","Rosen","Rosen","r","d","i"
"Rourke","AvGde ORourke","O' Rourke","r","d","i"
"RuArt1","Reserve","","r","b","a"
"RuArt2","Reserve","","r","b","a"
"Schnell","1st","Schneller","a","d","c"
"SwArt","Reserve","","s","b","a"
"Tchali","Lt","Tchalikow","r","d","c"
"Thielm","Kossaks","Thielman","r","b","c"
"Tirow","Militia","Tirow","r","d","i"
"Tschapl","Tschaplitz","Tschaplitz","r","d","c"
"Weiss","3rd","Weissenw","a","d","i"
"Wimpf","2nd","Winpfen","a","d","i"
"Wobeser","Lander","Wobeser","p","d","i"
